"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Motley County, Texas",""
"    Number",""
"        Estimate","496"
"    Percent Distribution",""
"        Estimate","496"
"    Median income (dollars)",""
"        Estimate","45,417"
"Nacogdoches County, Texas",""
"    Number",""
"        Estimate","23,765"
"    Percent Distribution",""
"        Estimate","23,765"
"    Median income (dollars)",""
"        Estimate","44,507"
"Navarro County, Texas",""
"    Number",""
"        Estimate","17,509"
"    Percent Distribution",""
"        Estimate","17,509"
"    Median income (dollars)",""
"        Estimate","47,574"
"Newton County, Texas",""
"    Number",""
"        Estimate","5,124"
"    Percent Distribution",""
"        Estimate","5,124"
"    Median income (dollars)",""
"        Estimate","40,690"
"Nolan County, Texas",""
"    Number",""
"        Estimate","5,516"
"    Percent Distribution",""
"        Estimate","5,516"
"    Median income (dollars)",""
"        Estimate","43,692"
"Nueces County, Texas",""
"    Number",""
"        Estimate","130,482"
"    Percent Distribution",""
"        Estimate","130,482"
"    Median income (dollars)",""
"        Estimate","56,784"
"Ochiltree County, Texas",""
"    Number",""
"        Estimate","3,391"
"    Percent Distribution",""
"        Estimate","3,391"
"    Median income (dollars)",""
"        Estimate","53,431"
"Oldham County, Texas",""
"    Number",""
"        Estimate","646"
"    Percent Distribution",""
"        Estimate","646"
"    Median income (dollars)",""
"        Estimate","64,250"
"Orange County, Texas",""
"    Number",""
"        Estimate","31,570"
"    Percent Distribution",""
"        Estimate","31,570"
"    Median income (dollars)",""
"        Estimate","63,488"
"Palo Pinto County, Texas",""
"    Number",""
"        Estimate","10,334"
"    Percent Distribution",""
"        Estimate","10,334"
"    Median income (dollars)",""
"        Estimate","55,986"
"Panola County, Texas",""
"    Number",""
"        Estimate","8,662"
"    Percent Distribution",""
"        Estimate","8,662"
"    Median income (dollars)",""
"        Estimate","51,297"
"Parker County, Texas",""
"    Number",""
"        Estimate","45,848"
"    Percent Distribution",""
"        Estimate","45,848"
"    Median income (dollars)",""
"        Estimate","84,189"
"Parmer County, Texas",""
"    Number",""
"        Estimate","3,213"
"    Percent Distribution",""
"        Estimate","3,213"
"    Median income (dollars)",""
"        Estimate","58,558"
"Pecos County, Texas",""
"    Number",""
"        Estimate","4,868"
"    Percent Distribution",""
"        Estimate","4,868"
"    Median income (dollars)",""
"        Estimate","53,879"
"Polk County, Texas",""
"    Number",""
"        Estimate","17,945"
"    Percent Distribution",""
"        Estimate","17,945"
"    Median income (dollars)",""
"        Estimate","50,351"
"Potter County, Texas",""
"    Number",""
"        Estimate","43,957"
"    Percent Distribution",""
"        Estimate","43,957"
"    Median income (dollars)",""
"        Estimate","43,652"
"Presidio County, Texas",""
"    Number",""
"        Estimate","2,580"
"    Percent Distribution",""
"        Estimate","2,580"
"    Median income (dollars)",""
"        Estimate","22,716"
"Rains County, Texas",""
"    Number",""
"        Estimate","4,321"
"    Percent Distribution",""
"        Estimate","4,321"
"    Median income (dollars)",""
"        Estimate","52,612"
"Randall County, Texas",""
"    Number",""
"        Estimate","50,092"
"    Percent Distribution",""
"        Estimate","50,092"
"    Median income (dollars)",""
"        Estimate","68,186"
"Reagan County, Texas",""
"    Number",""
"        Estimate","1,117"
"    Percent Distribution",""
"        Estimate","1,117"
"    Median income (dollars)",""
"        Estimate","61,659"
"Real County, Texas",""
"    Number",""
"        Estimate","1,254"
"    Percent Distribution",""
"        Estimate","1,254"
"    Median income (dollars)",""
"        Estimate","38,659"
"Red River County, Texas",""
"    Number",""
"        Estimate","5,143"
"    Percent Distribution",""
"        Estimate","5,143"
"    Median income (dollars)",""
"        Estimate","37,135"
"Reeves County, Texas",""
"    Number",""
"        Estimate","3,772"
"    Percent Distribution",""
"        Estimate","3,772"
"    Median income (dollars)",""
"        Estimate","61,543"
"Refugio County, Texas",""
"    Number",""
"        Estimate","2,566"
"    Percent Distribution",""
"        Estimate","2,566"
"    Median income (dollars)",""
"        Estimate","51,054"
"Roberts County, Texas",""
"    Number",""
"        Estimate","329"
"    Percent Distribution",""
"        Estimate","329"
"    Median income (dollars)",""
"        Estimate","61,964"
"Robertson County, Texas",""
"    Number",""
"        Estimate","6,749"
"    Percent Distribution",""
"        Estimate","6,749"
"    Median income (dollars)",""
"        Estimate","53,823"
"Rockwall County, Texas",""
"    Number",""
"        Estimate","34,457"
"    Percent Distribution",""
"        Estimate","34,457"
"    Median income (dollars)",""
"        Estimate","105,956"
"Runnels County, Texas",""
"    Number",""
"        Estimate","3,891"
"    Percent Distribution",""
"        Estimate","3,891"
"    Median income (dollars)",""
"        Estimate","48,489"
"Rusk County, Texas",""
"    Number",""
"        Estimate","18,056"
"    Percent Distribution",""
"        Estimate","18,056"
"    Median income (dollars)",""
"        Estimate","56,223"
"Sabine County, Texas",""
"    Number",""
"        Estimate","4,524"
"    Percent Distribution",""
"        Estimate","4,524"
"    Median income (dollars)",""
"        Estimate","38,917"
"San Augustine County, Texas",""
"    Number",""
"        Estimate","3,712"
"    Percent Distribution",""
"        Estimate","3,712"
"    Median income (dollars)",""
"        Estimate","41,568"
"San Jacinto County, Texas",""
"    Number",""
"        Estimate","10,143"
"    Percent Distribution",""
"        Estimate","10,143"
"    Median income (dollars)",""
"        Estimate","44,566"
"San Patricio County, Texas",""
"    Number",""
"        Estimate","23,422"
"    Percent Distribution",""
"        Estimate","23,422"
"    Median income (dollars)",""
"        Estimate","56,111"
"San Saba County, Texas",""
"    Number",""
"        Estimate","2,134"
"    Percent Distribution",""
"        Estimate","2,134"
"    Median income (dollars)",""
"        Estimate","45,169"
"Schleicher County, Texas",""
"    Number",""
"        Estimate","1,036"
"    Percent Distribution",""
"        Estimate","1,036"
"    Median income (dollars)",""
"        Estimate","45,250"
"Scurry County, Texas",""
"    Number",""
"        Estimate","6,115"
"    Percent Distribution",""
"        Estimate","6,115"
"    Median income (dollars)",""
"        Estimate","50,277"
"Shackelford County, Texas",""
"    Number",""
"        Estimate","1,367"
"    Percent Distribution",""
"        Estimate","1,367"
"    Median income (dollars)",""
"        Estimate","48,212"
"Shelby County, Texas",""
"    Number",""
"        Estimate","9,486"
"    Percent Distribution",""
"        Estimate","9,486"
"    Median income (dollars)",""
"        Estimate","41,170"
"Sherman County, Texas",""
"    Number",""
"        Estimate","1,070"
"    Percent Distribution",""
"        Estimate","1,070"
"    Median income (dollars)",""
"        Estimate","57,130"
"Smith County, Texas",""
"    Number",""
"        Estimate","77,809"
"    Percent Distribution",""
"        Estimate","77,809"
"    Median income (dollars)",""
"        Estimate","59,450"
"Somervell County, Texas",""
"    Number",""
"        Estimate","3,145"
"    Percent Distribution",""
"        Estimate","3,145"
"    Median income (dollars)",""
"        Estimate","64,394"
"Starr County, Texas",""
"    Number",""
"        Estimate","16,281"
"    Percent Distribution",""
"        Estimate","16,281"
"    Median income (dollars)",""
"        Estimate","30,931"
"Stephens County, Texas",""
"    Number",""
"        Estimate","3,408"
"    Percent Distribution",""
"        Estimate","3,408"
"    Median income (dollars)",""
"        Estimate","44,940"
"Sterling County, Texas",""
"    Number",""
"        Estimate","405"
"    Percent Distribution",""
"        Estimate","405"
"    Median income (dollars)",""
"        Estimate","53,194"
"Stonewall County, Texas",""
"    Number",""
"        Estimate","529"
"    Percent Distribution",""
"        Estimate","529"
"    Median income (dollars)",""
"        Estimate","58,309"
"Sutton County, Texas",""
"    Number",""
"        Estimate","1,282"
"    Percent Distribution",""
"        Estimate","1,282"
"    Median income (dollars)",""
"        Estimate","61,190"
"Swisher County, Texas",""
"    Number",""
"        Estimate","2,599"
"    Percent Distribution",""
"        Estimate","2,599"
"    Median income (dollars)",""
"        Estimate","36,337"
"Tarrant County, Texas",""
"    Number",""
"        Estimate","722,446"
"    Percent Distribution",""
"        Estimate","722,446"
"    Median income (dollars)",""
"        Estimate","70,306"
"Taylor County, Texas",""
"    Number",""
"        Estimate","50,396"
"    Percent Distribution",""
"        Estimate","50,396"
"    Median income (dollars)",""
"        Estimate","55,568"
"Terrell County, Texas",""
"    Number",""
"        Estimate","419"
"    Percent Distribution",""
"        Estimate","419"
"    Median income (dollars)",""
"        Estimate","42,823"
"Terry County, Texas",""
"    Number",""
"        Estimate","4,101"
"    Percent Distribution",""
"        Estimate","4,101"
"    Median income (dollars)",""
"        Estimate","44,052"
"Throckmorton County, Texas",""
"    Number",""
"        Estimate","713"
"    Percent Distribution",""
"        Estimate","713"
"    Median income (dollars)",""
"        Estimate","41,875"
"Titus County, Texas",""
"    Number",""
"        Estimate","11,064"
"    Percent Distribution",""
"        Estimate","11,064"
"    Median income (dollars)",""
"        Estimate","53,406"
"Tom Green County, Texas",""
"    Number",""
"        Estimate","42,953"
"    Percent Distribution",""
"        Estimate","42,953"
"    Median income (dollars)",""
"        Estimate","57,670"
"Travis County, Texas",""
"    Number",""
"        Estimate","491,531"
"    Percent Distribution",""
"        Estimate","491,531"
"    Median income (dollars)",""
"        Estimate","80,668"
"Trinity County, Texas",""
"    Number",""
"        Estimate","6,105"
"    Percent Distribution",""
"        Estimate","6,105"
"    Median income (dollars)",""
"        Estimate","44,052"
"Tyler County, Texas",""
"    Number",""
"        Estimate","7,109"
"    Percent Distribution",""
"        Estimate","7,109"
"    Median income (dollars)",""
"        Estimate","47,865"
"Upshur County, Texas",""
"    Number",""
"        Estimate","14,392"
"    Percent Distribution",""
"        Estimate","14,392"
"    Median income (dollars)",""
"        Estimate","54,330"
"Upton County, Texas",""
"    Number",""
"        Estimate","1,344"
"    Percent Distribution",""
"        Estimate","1,344"
"    Median income (dollars)",""
"        Estimate","59,008"
"Uvalde County, Texas",""
"    Number",""
"        Estimate","8,921"
"    Percent Distribution",""
"        Estimate","8,921"
"    Median income (dollars)",""
"        Estimate","45,936"
"Val Verde County, Texas",""
"    Number",""
"        Estimate","16,388"
"    Percent Distribution",""
"        Estimate","16,388"
"    Median income (dollars)",""
"        Estimate","47,675"
"Van Zandt County, Texas",""
"    Number",""
"        Estimate","20,494"
"    Percent Distribution",""
"        Estimate","20,494"
"    Median income (dollars)",""
"        Estimate","57,203"
"Victoria County, Texas",""
"    Number",""
"        Estimate","32,520"
"    Percent Distribution",""
"        Estimate","32,520"
"    Median income (dollars)",""
"        Estimate","58,959"
"Walker County, Texas",""
"    Number",""
"        Estimate","22,515"
"    Percent Distribution",""
"        Estimate","22,515"
"    Median income (dollars)",""
"        Estimate","41,508"
"Waller County, Texas",""
"    Number",""
"        Estimate","15,586"
"    Percent Distribution",""
"        Estimate","15,586"
"    Median income (dollars)",""
"        Estimate","61,752"
"Ward County, Texas",""
"    Number",""
"        Estimate","4,100"
"    Percent Distribution",""
"        Estimate","4,100"
"    Median income (dollars)",""
"        Estimate","61,915"
"Washington County, Texas",""
"    Number",""
"        Estimate","13,321"
"    Percent Distribution",""
"        Estimate","13,321"
"    Median income (dollars)",""
"        Estimate","59,623"
"Webb County, Texas",""
"    Number",""
"        Estimate","76,382"
"    Percent Distribution",""
"        Estimate","76,382"
"    Median income (dollars)",""
"        Estimate","50,296"
"Wharton County, Texas",""
"    Number",""
"        Estimate","15,248"
"    Percent Distribution",""
"        Estimate","15,248"
"    Median income (dollars)",""
"        Estimate","51,770"
"Wheeler County, Texas",""
"    Number",""
"        Estimate","2,060"
"    Percent Distribution",""
"        Estimate","2,060"
"    Median income (dollars)",""
"        Estimate","49,036"
"Wichita County, Texas",""
"    Number",""
"        Estimate","48,538"
"    Percent Distribution",""
"        Estimate","48,538"
"    Median income (dollars)",""
"        Estimate","49,710"
"Wilbarger County, Texas",""
"    Number",""
"        Estimate","5,008"
"    Percent Distribution",""
"        Estimate","5,008"
"    Median income (dollars)",""
"        Estimate","45,121"
"Willacy County, Texas",""
"    Number",""
"        Estimate","5,882"
"    Percent Distribution",""
"        Estimate","5,882"
"    Median income (dollars)",""
"        Estimate","37,906"
"Williamson County, Texas",""
"    Number",""
"        Estimate","188,113"
"    Percent Distribution",""
"        Estimate","188,113"
"    Median income (dollars)",""
"        Estimate","90,834"
"Wilson County, Texas",""
"    Number",""
"        Estimate","15,975"
"    Percent Distribution",""
"        Estimate","15,975"
"    Median income (dollars)",""
"        Estimate","80,082"
"Winkler County, Texas",""
"    Number",""
"        Estimate","2,618"
"    Percent Distribution",""
"        Estimate","2,618"
"    Median income (dollars)",""
"        Estimate","63,585"
"Wise County, Texas",""
"    Number",""
"        Estimate","22,254"
"    Percent Distribution",""
"        Estimate","22,254"
"    Median income (dollars)",""
"        Estimate","67,726"
"Wood County, Texas",""
"    Number",""
"        Estimate","16,716"
"    Percent Distribution",""
"        Estimate","16,716"
"    Median income (dollars)",""
"        Estimate","56,749"
"Yoakum County, Texas",""
"    Number",""
"        Estimate","2,601"
"    Percent Distribution",""
"        Estimate","2,601"
"    Median income (dollars)",""
"        Estimate","69,004"
"Young County, Texas",""
"    Number",""
"        Estimate","7,491"
"    Percent Distribution",""
"        Estimate","7,491"
"    Median income (dollars)",""
"        Estimate","52,158"
"Zapata County, Texas",""
"    Number",""
"        Estimate","4,689"
"    Percent Distribution",""
"        Estimate","4,689"
"    Median income (dollars)",""
"        Estimate","32,945"
"Zavala County, Texas",""
"    Number",""
"        Estimate","3,674"
"    Percent Distribution",""
"        Estimate","3,674"
"    Median income (dollars)",""
"        Estimate","40,090"
