"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Motley County, Texas",""
"    Number",""
"        Estimate","489"
"    Percent Distribution",""
"        Estimate","489"
"    Median income (dollars)",""
"        Estimate","43,859"
"Nacogdoches County, Texas",""
"    Number",""
"        Estimate","23,757"
"    Percent Distribution",""
"        Estimate","23,757"
"    Median income (dollars)",""
"        Estimate","44,847"
"Navarro County, Texas",""
"    Number",""
"        Estimate","17,338"
"    Percent Distribution",""
"        Estimate","17,338"
"    Median income (dollars)",""
"        Estimate","48,529"
"Newton County, Texas",""
"    Number",""
"        Estimate","5,315"
"    Percent Distribution",""
"        Estimate","5,315"
"    Median income (dollars)",""
"        Estimate","40,101"
"Nolan County, Texas",""
"    Number",""
"        Estimate","5,407"
"    Percent Distribution",""
"        Estimate","5,407"
"    Median income (dollars)",""
"        Estimate","45,537"
"Nueces County, Texas",""
"    Number",""
"        Estimate","129,451"
"    Percent Distribution",""
"        Estimate","129,451"
"    Median income (dollars)",""
"        Estimate","55,919"
"Ochiltree County, Texas",""
"    Number",""
"        Estimate","3,483"
"    Percent Distribution",""
"        Estimate","3,483"
"    Median income (dollars)",""
"        Estimate","50,464"
"Oldham County, Texas",""
"    Number",""
"        Estimate","594"
"    Percent Distribution",""
"        Estimate","594"
"    Median income (dollars)",""
"        Estimate","64,545"
"Orange County, Texas",""
"    Number",""
"        Estimate","31,694"
"    Percent Distribution",""
"        Estimate","31,694"
"    Median income (dollars)",""
"        Estimate","59,399"
"Palo Pinto County, Texas",""
"    Number",""
"        Estimate","10,255"
"    Percent Distribution",""
"        Estimate","10,255"
"    Median income (dollars)",""
"        Estimate","50,154"
"Panola County, Texas",""
"    Number",""
"        Estimate","8,637"
"    Percent Distribution",""
"        Estimate","8,637"
"    Median income (dollars)",""
"        Estimate","52,982"
"Parker County, Texas",""
"    Number",""
"        Estimate","44,263"
"    Percent Distribution",""
"        Estimate","44,263"
"    Median income (dollars)",""
"        Estimate","77,503"
"Parmer County, Texas",""
"    Number",""
"        Estimate","3,203"
"    Percent Distribution",""
"        Estimate","3,203"
"    Median income (dollars)",""
"        Estimate","55,359"
"Pecos County, Texas",""
"    Number",""
"        Estimate","4,656"
"    Percent Distribution",""
"        Estimate","4,656"
"    Median income (dollars)",""
"        Estimate","52,397"
"Polk County, Texas",""
"    Number",""
"        Estimate","18,033"
"    Percent Distribution",""
"        Estimate","18,033"
"    Median income (dollars)",""
"        Estimate","49,279"
"Potter County, Texas",""
"    Number",""
"        Estimate","44,380"
"    Percent Distribution",""
"        Estimate","44,380"
"    Median income (dollars)",""
"        Estimate","42,528"
"Presidio County, Texas",""
"    Number",""
"        Estimate","2,543"
"    Percent Distribution",""
"        Estimate","2,543"
"    Median income (dollars)",""
"        Estimate","25,098"
"Rains County, Texas",""
"    Number",""
"        Estimate","4,330"
"    Percent Distribution",""
"        Estimate","4,330"
"    Median income (dollars)",""
"        Estimate","51,579"
"Randall County, Texas",""
"    Number",""
"        Estimate","49,389"
"    Percent Distribution",""
"        Estimate","49,389"
"    Median income (dollars)",""
"        Estimate","68,261"
"Reagan County, Texas",""
"    Number",""
"        Estimate","1,084"
"    Percent Distribution",""
"        Estimate","1,084"
"    Median income (dollars)",""
"        Estimate","74,868"
"Real County, Texas",""
"    Number",""
"        Estimate","1,126"
"    Percent Distribution",""
"        Estimate","1,126"
"    Median income (dollars)",""
"        Estimate","35,862"
"Red River County, Texas",""
"    Number",""
"        Estimate","4,963"
"    Percent Distribution",""
"        Estimate","4,963"
"    Median income (dollars)",""
"        Estimate","39,142"
"Reeves County, Texas",""
"    Number",""
"        Estimate","3,518"
"    Percent Distribution",""
"        Estimate","3,518"
"    Median income (dollars)",""
"        Estimate","53,311"
"Refugio County, Texas",""
"    Number",""
"        Estimate","2,547"
"    Percent Distribution",""
"        Estimate","2,547"
"    Median income (dollars)",""
"        Estimate","50,076"
"Roberts County, Texas",""
"    Number",""
"        Estimate","301"
"    Percent Distribution",""
"        Estimate","301"
"    Median income (dollars)",""
"        Estimate","68,750"
"Robertson County, Texas",""
"    Number",""
"        Estimate","6,444"
"    Percent Distribution",""
"        Estimate","6,444"
"    Median income (dollars)",""
"        Estimate","52,928"
"Rockwall County, Texas",""
"    Number",""
"        Estimate","33,032"
"    Percent Distribution",""
"        Estimate","33,032"
"    Median income (dollars)",""
"        Estimate","100,920"
"Runnels County, Texas",""
"    Number",""
"        Estimate","3,896"
"    Percent Distribution",""
"        Estimate","3,896"
"    Median income (dollars)",""
"        Estimate","44,940"
"Rusk County, Texas",""
"    Number",""
"        Estimate","18,108"
"    Percent Distribution",""
"        Estimate","18,108"
"    Median income (dollars)",""
"        Estimate","55,234"
"Sabine County, Texas",""
"    Number",""
"        Estimate","4,311"
"    Percent Distribution",""
"        Estimate","4,311"
"    Median income (dollars)",""
"        Estimate","34,992"
"San Augustine County, Texas",""
"    Number",""
"        Estimate","3,451"
"    Percent Distribution",""
"        Estimate","3,451"
"    Median income (dollars)",""
"        Estimate","40,353"
"San Jacinto County, Texas",""
"    Number",""
"        Estimate","10,043"
"    Percent Distribution",""
"        Estimate","10,043"
"    Median income (dollars)",""
"        Estimate","41,614"
"San Patricio County, Texas",""
"    Number",""
"        Estimate","22,898"
"    Percent Distribution",""
"        Estimate","22,898"
"    Median income (dollars)",""
"        Estimate","56,556"
"San Saba County, Texas",""
"    Number",""
"        Estimate","2,082"
"    Percent Distribution",""
"        Estimate","2,082"
"    Median income (dollars)",""
"        Estimate","45,083"
"Schleicher County, Texas",""
"    Number",""
"        Estimate","1,075"
"    Percent Distribution",""
"        Estimate","1,075"
"    Median income (dollars)",""
"        Estimate","53,229"
"Scurry County, Texas",""
"    Number",""
"        Estimate","5,941"
"    Percent Distribution",""
"        Estimate","5,941"
"    Median income (dollars)",""
"        Estimate","54,326"
"Shackelford County, Texas",""
"    Number",""
"        Estimate","1,317"
"    Percent Distribution",""
"        Estimate","1,317"
"    Median income (dollars)",""
"        Estimate","46,935"
"Shelby County, Texas",""
"    Number",""
"        Estimate","9,293"
"    Percent Distribution",""
"        Estimate","9,293"
"    Median income (dollars)",""
"        Estimate","42,522"
"Sherman County, Texas",""
"    Number",""
"        Estimate","1,019"
"    Percent Distribution",""
"        Estimate","1,019"
"    Median income (dollars)",""
"        Estimate","51,926"
"Smith County, Texas",""
"    Number",""
"        Estimate","77,678"
"    Percent Distribution",""
"        Estimate","77,678"
"    Median income (dollars)",""
"        Estimate","56,810"
"Somervell County, Texas",""
"    Number",""
"        Estimate","3,123"
"    Percent Distribution",""
"        Estimate","3,123"
"    Median income (dollars)",""
"        Estimate","60,632"
"Starr County, Texas",""
"    Number",""
"        Estimate","16,188"
"    Percent Distribution",""
"        Estimate","16,188"
"    Median income (dollars)",""
"        Estimate","30,387"
"Stephens County, Texas",""
"    Number",""
"        Estimate","3,247"
"    Percent Distribution",""
"        Estimate","3,247"
"    Median income (dollars)",""
"        Estimate","46,232"
"Sterling County, Texas",""
"    Number",""
"        Estimate","458"
"    Percent Distribution",""
"        Estimate","458"
"    Median income (dollars)",""
"        Estimate","59,868"
"Stonewall County, Texas",""
"    Number",""
"        Estimate","580"
"    Percent Distribution",""
"        Estimate","580"
"    Median income (dollars)",""
"        Estimate","51,250"
"Sutton County, Texas",""
"    Number",""
"        Estimate","1,412"
"    Percent Distribution",""
"        Estimate","1,412"
"    Median income (dollars)",""
"        Estimate","54,306"
"Swisher County, Texas",""
"    Number",""
"        Estimate","2,505"
"    Percent Distribution",""
"        Estimate","2,505"
"    Median income (dollars)",""
"        Estimate","39,771"
"Tarrant County, Texas",""
"    Number",""
"        Estimate","708,252"
"    Percent Distribution",""
"        Estimate","708,252"
"    Median income (dollars)",""
"        Estimate","67,700"
"Taylor County, Texas",""
"    Number",""
"        Estimate","49,868"
"    Percent Distribution",""
"        Estimate","49,868"
"    Median income (dollars)",""
"        Estimate","53,143"
"Terrell County, Texas",""
"    Number",""
"        Estimate","418"
"    Percent Distribution",""
"        Estimate","418"
"    Median income (dollars)",""
"        Estimate","43,208"
"Terry County, Texas",""
"    Number",""
"        Estimate","4,061"
"    Percent Distribution",""
"        Estimate","4,061"
"    Median income (dollars)",""
"        Estimate","44,627"
"Throckmorton County, Texas",""
"    Number",""
"        Estimate","668"
"    Percent Distribution",""
"        Estimate","668"
"    Median income (dollars)",""
"        Estimate","40,000"
"Titus County, Texas",""
"    Number",""
"        Estimate","10,893"
"    Percent Distribution",""
"        Estimate","10,893"
"    Median income (dollars)",""
"        Estimate","50,196"
"Tom Green County, Texas",""
"    Number",""
"        Estimate","43,314"
"    Percent Distribution",""
"        Estimate","43,314"
"    Median income (dollars)",""
"        Estimate","53,903"
"Travis County, Texas",""
"    Number",""
"        Estimate","472,361"
"    Percent Distribution",""
"        Estimate","472,361"
"    Median income (dollars)",""
"        Estimate","75,887"
"Trinity County, Texas",""
"    Number",""
"        Estimate","6,030"
"    Percent Distribution",""
"        Estimate","6,030"
"    Median income (dollars)",""
"        Estimate","41,357"
"Tyler County, Texas",""
"    Number",""
"        Estimate","7,100"
"    Percent Distribution",""
"        Estimate","7,100"
"    Median income (dollars)",""
"        Estimate","44,497"
"Upshur County, Texas",""
"    Number",""
"        Estimate","14,108"
"    Percent Distribution",""
"        Estimate","14,108"
"    Median income (dollars)",""
"        Estimate","52,162"
"Upton County, Texas",""
"    Number",""
"        Estimate","1,332"
"    Percent Distribution",""
"        Estimate","1,332"
"    Median income (dollars)",""
"        Estimate","52,171"
"Uvalde County, Texas",""
"    Number",""
"        Estimate","8,841"
"    Percent Distribution",""
"        Estimate","8,841"
"    Median income (dollars)",""
"        Estimate","41,679"
"Val Verde County, Texas",""
"    Number",""
"        Estimate","15,779"
"    Percent Distribution",""
"        Estimate","15,779"
"    Median income (dollars)",""
"        Estimate","46,147"
"Van Zandt County, Texas",""
"    Number",""
"        Estimate","20,156"
"    Percent Distribution",""
"        Estimate","20,156"
"    Median income (dollars)",""
"        Estimate","54,654"
"Victoria County, Texas",""
"    Number",""
"        Estimate","32,255"
"    Percent Distribution",""
"        Estimate","32,255"
"    Median income (dollars)",""
"        Estimate","56,834"
"Walker County, Texas",""
"    Number",""
"        Estimate","21,963"
"    Percent Distribution",""
"        Estimate","21,963"
"    Median income (dollars)",""
"        Estimate","43,742"
"Waller County, Texas",""
"    Number",""
"        Estimate","15,171"
"    Percent Distribution",""
"        Estimate","15,171"
"    Median income (dollars)",""
"        Estimate","59,642"
"Ward County, Texas",""
"    Number",""
"        Estimate","3,978"
"    Percent Distribution",""
"        Estimate","3,978"
"    Median income (dollars)",""
"        Estimate","62,986"
"Washington County, Texas",""
"    Number",""
"        Estimate","12,625"
"    Percent Distribution",""
"        Estimate","12,625"
"    Median income (dollars)",""
"        Estimate","54,971"
"Webb County, Texas",""
"    Number",""
"        Estimate","74,789"
"    Percent Distribution",""
"        Estimate","74,789"
"    Median income (dollars)",""
"        Estimate","46,475"
"Wharton County, Texas",""
"    Number",""
"        Estimate","15,199"
"    Percent Distribution",""
"        Estimate","15,199"
"    Median income (dollars)",""
"        Estimate","48,310"
"Wheeler County, Texas",""
"    Number",""
"        Estimate","2,183"
"    Percent Distribution",""
"        Estimate","2,183"
"    Median income (dollars)",""
"        Estimate","49,315"
"Wichita County, Texas",""
"    Number",""
"        Estimate","48,356"
"    Percent Distribution",""
"        Estimate","48,356"
"    Median income (dollars)",""
"        Estimate","48,650"
"Wilbarger County, Texas",""
"    Number",""
"        Estimate","5,180"
"    Percent Distribution",""
"        Estimate","5,180"
"    Median income (dollars)",""
"        Estimate","45,302"
"Willacy County, Texas",""
"    Number",""
"        Estimate","5,782"
"    Percent Distribution",""
"        Estimate","5,782"
"    Median income (dollars)",""
"        Estimate","35,521"
"Williamson County, Texas",""
"    Number",""
"        Estimate","180,160"
"    Percent Distribution",""
"        Estimate","180,160"
"    Median income (dollars)",""
"        Estimate","87,337"
"Wilson County, Texas",""
"    Number",""
"        Estimate","15,733"
"    Percent Distribution",""
"        Estimate","15,733"
"    Median income (dollars)",""
"        Estimate","76,692"
"Winkler County, Texas",""
"    Number",""
"        Estimate","2,619"
"    Percent Distribution",""
"        Estimate","2,619"
"    Median income (dollars)",""
"        Estimate","60,366"
"Wise County, Texas",""
"    Number",""
"        Estimate","22,369"
"    Percent Distribution",""
"        Estimate","22,369"
"    Median income (dollars)",""
"        Estimate","64,536"
"Wood County, Texas",""
"    Number",""
"        Estimate","16,510"
"    Percent Distribution",""
"        Estimate","16,510"
"    Median income (dollars)",""
"        Estimate","53,394"
"Yoakum County, Texas",""
"    Number",""
"        Estimate","2,617"
"    Percent Distribution",""
"        Estimate","2,617"
"    Median income (dollars)",""
"        Estimate","70,005"
"Young County, Texas",""
"    Number",""
"        Estimate","7,307"
"    Percent Distribution",""
"        Estimate","7,307"
"    Median income (dollars)",""
"        Estimate","50,635"
"Zapata County, Texas",""
"    Number",""
"        Estimate","4,503"
"    Percent Distribution",""
"        Estimate","4,503"
"    Median income (dollars)",""
"        Estimate","33,952"
"Zavala County, Texas",""
"    Number",""
"        Estimate","3,571"
"    Percent Distribution",""
"        Estimate","3,571"
"    Median income (dollars)",""
"        Estimate","34,459"
