"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","465"
"    Percent Distribution",""
"        Estimate","465"
"    Median income (dollars)",""
"        Estimate","43,750"
"Nacogdoches County, Texas",""
"    Number",""
"        Estimate","23,904"
"    Percent Distribution",""
"        Estimate","23,904"
"    Median income (dollars)",""
"        Estimate","43,598"
"Navarro County, Texas",""
"    Number",""
"        Estimate","17,397"
"    Percent Distribution",""
"        Estimate","17,397"
"    Median income (dollars)",""
"        Estimate","47,920"
"Newton County, Texas",""
"    Number",""
"        Estimate","4,978"
"    Percent Distribution",""
"        Estimate","4,978"
"    Median income (dollars)",""
"        Estimate","40,950"
"Nolan County, Texas",""
"    Number",""
"        Estimate","5,469"
"    Percent Distribution",""
"        Estimate","5,469"
"    Median income (dollars)",""
"        Estimate","44,346"
"Nueces County, Texas",""
"    Number",""
"        Estimate","128,926"
"    Percent Distribution",""
"        Estimate","128,926"
"    Median income (dollars)",""
"        Estimate","55,048"
"Ochiltree County, Texas",""
"    Number",""
"        Estimate","3,443"
"    Percent Distribution",""
"        Estimate","3,443"
"    Median income (dollars)",""
"        Estimate","49,928"
"Oldham County, Texas",""
"    Number",""
"        Estimate","527"
"    Percent Distribution",""
"        Estimate","527"
"    Median income (dollars)",""
"        Estimate","63,315"
"Orange County, Texas",""
"    Number",""
"        Estimate","31,989"
"    Percent Distribution",""
"        Estimate","31,989"
"    Median income (dollars)",""
"        Estimate","55,700"
"Palo Pinto County, Texas",""
"    Number",""
"        Estimate","10,312"
"    Percent Distribution",""
"        Estimate","10,312"
"    Median income (dollars)",""
"        Estimate","45,979"
"Panola County, Texas",""
"    Number",""
"        Estimate","8,827"
"    Percent Distribution",""
"        Estimate","8,827"
"    Median income (dollars)",""
"        Estimate","51,569"
"Parker County, Texas",""
"    Number",""
"        Estimate","44,255"
"    Percent Distribution",""
"        Estimate","44,255"
"    Median income (dollars)",""
"        Estimate","74,625"
"Parmer County, Texas",""
"    Number",""
"        Estimate","3,318"
"    Percent Distribution",""
"        Estimate","3,318"
"    Median income (dollars)",""
"        Estimate","54,184"
"Pecos County, Texas",""
"    Number",""
"        Estimate","4,557"
"    Percent Distribution",""
"        Estimate","4,557"
"    Median income (dollars)",""
"        Estimate","52,282"
"Polk County, Texas",""
"    Number",""
"        Estimate","17,803"
"    Percent Distribution",""
"        Estimate","17,803"
"    Median income (dollars)",""
"        Estimate","46,182"
"Potter County, Texas",""
"    Number",""
"        Estimate","43,944"
"    Percent Distribution",""
"        Estimate","43,944"
"    Median income (dollars)",""
"        Estimate","43,157"
"Presidio County, Texas",""
"    Number",""
"        Estimate","2,627"
"    Percent Distribution",""
"        Estimate","2,627"
"    Median income (dollars)",""
"        Estimate","27,061"
"Rains County, Texas",""
"    Number",""
"        Estimate","4,331"
"    Percent Distribution",""
"        Estimate","4,331"
"    Median income (dollars)",""
"        Estimate","49,872"
"Randall County, Texas",""
"    Number",""
"        Estimate","49,187"
"    Percent Distribution",""
"        Estimate","49,187"
"    Median income (dollars)",""
"        Estimate","67,397"
"Reagan County, Texas",""
"    Number",""
"        Estimate","1,147"
"    Percent Distribution",""
"        Estimate","1,147"
"    Median income (dollars)",""
"        Estimate","70,478"
"Real County, Texas",""
"    Number",""
"        Estimate","1,227"
"    Percent Distribution",""
"        Estimate","1,227"
"    Median income (dollars)",""
"        Estimate","34,813"
"Red River County, Texas",""
"    Number",""
"        Estimate","5,048"
"    Percent Distribution",""
"        Estimate","5,048"
"    Median income (dollars)",""
"        Estimate","37,955"
"Reeves County, Texas",""
"    Number",""
"        Estimate","3,713"
"    Percent Distribution",""
"        Estimate","3,713"
"    Median income (dollars)",""
"        Estimate","58,384"
"Refugio County, Texas",""
"    Number",""
"        Estimate","2,577"
"    Percent Distribution",""
"        Estimate","2,577"
"    Median income (dollars)",""
"        Estimate","48,112"
"Roberts County, Texas",""
"    Number",""
"        Estimate","311"
"    Percent Distribution",""
"        Estimate","311"
"    Median income (dollars)",""
"        Estimate","73,854"
"Robertson County, Texas",""
"    Number",""
"        Estimate","6,358"
"    Percent Distribution",""
"        Estimate","6,358"
"    Median income (dollars)",""
"        Estimate","54,201"
"Rockwall County, Texas",""
"    Number",""
"        Estimate","31,649"
"    Percent Distribution",""
"        Estimate","31,649"
"    Median income (dollars)",""
"        Estimate","94,767"
"Runnels County, Texas",""
"    Number",""
"        Estimate","3,749"
"    Percent Distribution",""
"        Estimate","3,749"
"    Median income (dollars)",""
"        Estimate","41,732"
"Rusk County, Texas",""
"    Number",""
"        Estimate","17,960"
"    Percent Distribution",""
"        Estimate","17,960"
"    Median income (dollars)",""
"        Estimate","52,329"
"Sabine County, Texas",""
"    Number",""
"        Estimate","4,099"
"    Percent Distribution",""
"        Estimate","4,099"
"    Median income (dollars)",""
"        Estimate","33,257"
"San Augustine County, Texas",""
"    Number",""
"        Estimate","3,356"
"    Percent Distribution",""
"        Estimate","3,356"
"    Median income (dollars)",""
"        Estimate","35,509"
"San Jacinto County, Texas",""
"    Number",""
"        Estimate","9,487"
"    Percent Distribution",""
"        Estimate","9,487"
"    Median income (dollars)",""
"        Estimate","44,658"
"San Patricio County, Texas",""
"    Number",""
"        Estimate","23,121"
"    Percent Distribution",""
"        Estimate","23,121"
"    Median income (dollars)",""
"        Estimate","55,229"
"San Saba County, Texas",""
"    Number",""
"        Estimate","2,104"
"    Percent Distribution",""
"        Estimate","2,104"
"    Median income (dollars)",""
"        Estimate","44,698"
"Schleicher County, Texas",""
"    Number",""
"        Estimate","1,105"
"    Percent Distribution",""
"        Estimate","1,105"
"    Median income (dollars)",""
"        Estimate","55,677"
"Scurry County, Texas",""
"    Number",""
"        Estimate","5,884"
"    Percent Distribution",""
"        Estimate","5,884"
"    Median income (dollars)",""
"        Estimate","55,889"
"Shackelford County, Texas",""
"    Number",""
"        Estimate","1,234"
"    Percent Distribution",""
"        Estimate","1,234"
"    Median income (dollars)",""
"        Estimate","45,187"
"Shelby County, Texas",""
"    Number",""
"        Estimate","9,292"
"    Percent Distribution",""
"        Estimate","9,292"
"    Median income (dollars)",""
"        Estimate","40,764"
"Sherman County, Texas",""
"    Number",""
"        Estimate","1,055"
"    Percent Distribution",""
"        Estimate","1,055"
"    Median income (dollars)",""
"        Estimate","56,576"
"Smith County, Texas",""
"    Number",""
"        Estimate","77,195"
"    Percent Distribution",""
"        Estimate","77,195"
"    Median income (dollars)",""
"        Estimate","53,511"
"Somervell County, Texas",""
"    Number",""
"        Estimate","3,239"
"    Percent Distribution",""
"        Estimate","3,239"
"    Median income (dollars)",""
"        Estimate","53,162"
"Starr County, Texas",""
"    Number",""
"        Estimate","16,238"
"    Percent Distribution",""
"        Estimate","16,238"
"    Median income (dollars)",""
"        Estimate","29,294"
"Stephens County, Texas",""
"    Number",""
"        Estimate","3,268"
"    Percent Distribution",""
"        Estimate","3,268"
"    Median income (dollars)",""
"        Estimate","45,336"
"Sterling County, Texas",""
"    Number",""
"        Estimate","462"
"    Percent Distribution",""
"        Estimate","462"
"    Median income (dollars)",""
"        Estimate","59,286"
"Stonewall County, Texas",""
"    Number",""
"        Estimate","582"
"    Percent Distribution",""
"        Estimate","582"
"    Median income (dollars)",""
"        Estimate","48,000"
"Sutton County, Texas",""
"    Number",""
"        Estimate","1,484"
"    Percent Distribution",""
"        Estimate","1,484"
"    Median income (dollars)",""
"        Estimate","60,543"
"Swisher County, Texas",""
"    Number",""
"        Estimate","2,514"
"    Percent Distribution",""
"        Estimate","2,514"
"    Median income (dollars)",""
"        Estimate","38,418"
"Tarrant County, Texas",""
"    Number",""
"        Estimate","698,995"
"    Percent Distribution",""
"        Estimate","698,995"
"    Median income (dollars)",""
"        Estimate","64,874"
"Taylor County, Texas",""
"    Number",""
"        Estimate","49,482"
"    Percent Distribution",""
"        Estimate","49,482"
"    Median income (dollars)",""
"        Estimate","50,818"
"Terrell County, Texas",""
"    Number",""
"        Estimate","396"
"    Percent Distribution",""
"        Estimate","396"
"    Median income (dollars)",""
"        Estimate","33,750"
"Terry County, Texas",""
"    Number",""
"        Estimate","4,041"
"    Percent Distribution",""
"        Estimate","4,041"
"    Median income (dollars)",""
"        Estimate","44,975"
"Throckmorton County, Texas",""
"    Number",""
"        Estimate","703"
"    Percent Distribution",""
"        Estimate","703"
"    Median income (dollars)",""
"        Estimate","44,196"
"Titus County, Texas",""
"    Number",""
"        Estimate","10,694"
"    Percent Distribution",""
"        Estimate","10,694"
"    Median income (dollars)",""
"        Estimate","46,698"
"Tom Green County, Texas",""
"    Number",""
"        Estimate","43,131"
"    Percent Distribution",""
"        Estimate","43,131"
"    Median income (dollars)",""
"        Estimate","51,675"
"Travis County, Texas",""
"    Number",""
"        Estimate","458,484"
"    Percent Distribution",""
"        Estimate","458,484"
"    Median income (dollars)",""
"        Estimate","71,767"
"Trinity County, Texas",""
"    Number",""
"        Estimate","5,918"
"    Percent Distribution",""
"        Estimate","5,918"
"    Median income (dollars)",""
"        Estimate","40,407"
"Tyler County, Texas",""
"    Number",""
"        Estimate","7,020"
"    Percent Distribution",""
"        Estimate","7,020"
"    Median income (dollars)",""
"        Estimate","43,936"
"Upshur County, Texas",""
"    Number",""
"        Estimate","14,036"
"    Percent Distribution",""
"        Estimate","14,036"
"    Median income (dollars)",""
"        Estimate","50,906"
"Upton County, Texas",""
"    Number",""
"        Estimate","1,305"
"    Percent Distribution",""
"        Estimate","1,305"
"    Median income (dollars)",""
"        Estimate","52,257"
"Uvalde County, Texas",""
"    Number",""
"        Estimate","8,683"
"    Percent Distribution",""
"        Estimate","8,683"
"    Median income (dollars)",""
"        Estimate","41,752"
"Val Verde County, Texas",""
"    Number",""
"        Estimate","15,429"
"    Percent Distribution",""
"        Estimate","15,429"
"    Median income (dollars)",""
"        Estimate","45,521"
"Van Zandt County, Texas",""
"    Number",""
"        Estimate","19,615"
"    Percent Distribution",""
"        Estimate","19,615"
"    Median income (dollars)",""
"        Estimate","51,935"
"Victoria County, Texas",""
"    Number",""
"        Estimate","32,544"
"    Percent Distribution",""
"        Estimate","32,544"
"    Median income (dollars)",""
"        Estimate","55,631"
"Walker County, Texas",""
"    Number",""
"        Estimate","21,636"
"    Percent Distribution",""
"        Estimate","21,636"
"    Median income (dollars)",""
"        Estimate","41,855"
"Waller County, Texas",""
"    Number",""
"        Estimate","14,807"
"    Percent Distribution",""
"        Estimate","14,807"
"    Median income (dollars)",""
"        Estimate","57,654"
"Ward County, Texas",""
"    Number",""
"        Estimate","3,956"
"    Percent Distribution",""
"        Estimate","3,956"
"    Median income (dollars)",""
"        Estimate","64,630"
"Washington County, Texas",""
"    Number",""
"        Estimate","12,381"
"    Percent Distribution",""
"        Estimate","12,381"
"    Median income (dollars)",""
"        Estimate","56,237"
"Webb County, Texas",""
"    Number",""
"        Estimate","73,659"
"    Percent Distribution",""
"        Estimate","73,659"
"    Median income (dollars)",""
"        Estimate","42,293"
"Wharton County, Texas",""
"    Number",""
"        Estimate","15,256"
"    Percent Distribution",""
"        Estimate","15,256"
"    Median income (dollars)",""
"        Estimate","49,619"
"Wheeler County, Texas",""
"    Number",""
"        Estimate","2,254"
"    Percent Distribution",""
"        Estimate","2,254"
"    Median income (dollars)",""
"        Estimate","49,352"
"Wichita County, Texas",""
"    Number",""
"        Estimate","47,951"
"    Percent Distribution",""
"        Estimate","47,951"
"    Median income (dollars)",""
"        Estimate","46,575"
"Wilbarger County, Texas",""
"    Number",""
"        Estimate","5,263"
"    Percent Distribution",""
"        Estimate","5,263"
"    Median income (dollars)",""
"        Estimate","48,773"
"Willacy County, Texas",""
"    Number",""
"        Estimate","5,810"
"    Percent Distribution",""
"        Estimate","5,810"
"    Median income (dollars)",""
"        Estimate","29,944"
"Williamson County, Texas",""
"    Number",""
"        Estimate","174,754"
"    Percent Distribution",""
"        Estimate","174,754"
"    Median income (dollars)",""
"        Estimate","83,679"
"Wilson County, Texas",""
"    Number",""
"        Estimate","15,820"
"    Percent Distribution",""
"        Estimate","15,820"
"    Median income (dollars)",""
"        Estimate","72,445"
"Winkler County, Texas",""
"    Number",""
"        Estimate","2,572"
"    Percent Distribution",""
"        Estimate","2,572"
"    Median income (dollars)",""
"        Estimate","59,167"
"Wise County, Texas",""
"    Number",""
"        Estimate","22,080"
"    Percent Distribution",""
"        Estimate","22,080"
"    Median income (dollars)",""
"        Estimate","61,709"
"Wood County, Texas",""
"    Number",""
"        Estimate","16,531"
"    Percent Distribution",""
"        Estimate","16,531"
"    Median income (dollars)",""
"        Estimate","48,534"
"Yoakum County, Texas",""
"    Number",""
"        Estimate","2,676"
"    Percent Distribution",""
"        Estimate","2,676"
"    Median income (dollars)",""
"        Estimate","68,814"
"Young County, Texas",""
"    Number",""
"        Estimate","7,105"
"    Percent Distribution",""
"        Estimate","7,105"
"    Median income (dollars)",""
"        Estimate","47,194"
"Zapata County, Texas",""
"    Number",""
"        Estimate","4,405"
"    Percent Distribution",""
"        Estimate","4,405"
"    Median income (dollars)",""
"        Estimate","31,113"
"Zavala County, Texas",""
"    Number",""
"        Estimate","3,509"
"    Percent Distribution",""
"        Estimate","3,509"
"    Median income (dollars)",""
"        Estimate","30,988"
