"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","460"
"    Percent Distribution",""
"        Estimate","460"
"    Median income (dollars)",""
"        Estimate","66,528"
"Nacogdoches County, Texas",""
"    Number",""
"        Estimate","24,893"
"    Percent Distribution",""
"        Estimate","24,893"
"    Median income (dollars)",""
"        Estimate","51,153"
"Navarro County, Texas",""
"    Number",""
"        Estimate","18,058"
"    Percent Distribution",""
"        Estimate","18,058"
"    Median income (dollars)",""
"        Estimate","56,261"
"Newton County, Texas",""
"    Number",""
"        Estimate","4,787"
"    Percent Distribution",""
"        Estimate","4,787"
"    Median income (dollars)",""
"        Estimate","38,871"
"Nolan County, Texas",""
"    Number",""
"        Estimate","5,670"
"    Percent Distribution",""
"        Estimate","5,670"
"    Median income (dollars)",""
"        Estimate","47,437"
"Nueces County, Texas",""
"    Number",""
"        Estimate","130,122"
"    Percent Distribution",""
"        Estimate","130,122"
"    Median income (dollars)",""
"        Estimate","64,027"
"Ochiltree County, Texas",""
"    Number",""
"        Estimate","3,684"
"    Percent Distribution",""
"        Estimate","3,684"
"    Median income (dollars)",""
"        Estimate","62,240"
"Oldham County, Texas",""
"    Number",""
"        Estimate","631"
"    Percent Distribution",""
"        Estimate","631"
"    Median income (dollars)",""
"        Estimate","71,103"
"Orange County, Texas",""
"    Number",""
"        Estimate","31,274"
"    Percent Distribution",""
"        Estimate","31,274"
"    Median income (dollars)",""
"        Estimate","71,910"
"Palo Pinto County, Texas",""
"    Number",""
"        Estimate","10,640"
"    Percent Distribution",""
"        Estimate","10,640"
"    Median income (dollars)",""
"        Estimate","65,242"
"Panola County, Texas",""
"    Number",""
"        Estimate","8,062"
"    Percent Distribution",""
"        Estimate","8,062"
"    Median income (dollars)",""
"        Estimate","58,205"
"Parker County, Texas",""
"    Number",""
"        Estimate","52,622"
"    Percent Distribution",""
"        Estimate","52,622"
"    Median income (dollars)",""
"        Estimate","95,721"
"Parmer County, Texas",""
"    Number",""
"        Estimate","3,203"
"    Percent Distribution",""
"        Estimate","3,203"
"    Median income (dollars)",""
"        Estimate","65,575"
"Pecos County, Texas",""
"    Number",""
"        Estimate","5,070"
"    Percent Distribution",""
"        Estimate","5,070"
"    Median income (dollars)",""
"        Estimate","59,325"
"Polk County, Texas",""
"    Number",""
"        Estimate","18,084"
"    Percent Distribution",""
"        Estimate","18,084"
"    Median income (dollars)",""
"        Estimate","57,315"
"Potter County, Texas",""
"    Number",""
"        Estimate","42,824"
"    Percent Distribution",""
"        Estimate","42,824"
"    Median income (dollars)",""
"        Estimate","47,974"
"Presidio County, Texas",""
"    Number",""
"        Estimate","2,275"
"    Percent Distribution",""
"        Estimate","2,275"
"    Median income (dollars)",""
"        Estimate","29,012"
"Rains County, Texas",""
"    Number",""
"        Estimate","4,710"
"    Percent Distribution",""
"        Estimate","4,710"
"    Median income (dollars)",""
"        Estimate","60,291"
"Randall County, Texas",""
"    Number",""
"        Estimate","54,984"
"    Percent Distribution",""
"        Estimate","54,984"
"    Median income (dollars)",""
"        Estimate","78,038"
"Reagan County, Texas",""
"    Number",""
"        Estimate","1,090"
"    Percent Distribution",""
"        Estimate","1,090"
"    Median income (dollars)",""
"        Estimate","70,319"
"Real County, Texas",""
"    Number",""
"        Estimate","992"
"    Percent Distribution",""
"        Estimate","992"
"    Median income (dollars)",""
"        Estimate","46,842"
"Red River County, Texas",""
"    Number",""
"        Estimate","4,662"
"    Percent Distribution",""
"        Estimate","4,662"
"    Median income (dollars)",""
"        Estimate","44,583"
"Reeves County, Texas",""
"    Number",""
"        Estimate","4,117"
"    Percent Distribution",""
"        Estimate","4,117"
"    Median income (dollars)",""
"        Estimate","57,487"
"Refugio County, Texas",""
"    Number",""
"        Estimate","2,235"
"    Percent Distribution",""
"        Estimate","2,235"
"    Median income (dollars)",""
"        Estimate","54,304"
"Roberts County, Texas",""
"    Number",""
"        Estimate","320"
"    Percent Distribution",""
"        Estimate","320"
"    Median income (dollars)",""
"        Estimate","62,667"
"Robertson County, Texas",""
"    Number",""
"        Estimate","6,309"
"    Percent Distribution",""
"        Estimate","6,309"
"    Median income (dollars)",""
"        Estimate","59,410"
"Rockwall County, Texas",""
"    Number",""
"        Estimate","37,881"
"    Percent Distribution",""
"        Estimate","37,881"
"    Median income (dollars)",""
"        Estimate","121,303"
"Runnels County, Texas",""
"    Number",""
"        Estimate","3,780"
"    Percent Distribution",""
"        Estimate","3,780"
"    Median income (dollars)",""
"        Estimate","55,424"
"Rusk County, Texas",""
"    Number",""
"        Estimate","17,792"
"    Percent Distribution",""
"        Estimate","17,792"
"    Median income (dollars)",""
"        Estimate","61,661"
"Sabine County, Texas",""
"    Number",""
"        Estimate","4,471"
"    Percent Distribution",""
"        Estimate","4,471"
"    Median income (dollars)",""
"        Estimate","47,061"
"San Augustine County, Texas",""
"    Number",""
"        Estimate","3,051"
"    Percent Distribution",""
"        Estimate","3,051"
"    Median income (dollars)",""
"        Estimate","45,888"
"San Jacinto County, Texas",""
"    Number",""
"        Estimate","10,064"
"    Percent Distribution",""
"        Estimate","10,064"
"    Median income (dollars)",""
"        Estimate","54,839"
"San Patricio County, Texas",""
"    Number",""
"        Estimate","23,920"
"    Percent Distribution",""
"        Estimate","23,920"
"    Median income (dollars)",""
"        Estimate","63,842"
"San Saba County, Texas",""
"    Number",""
"        Estimate","2,014"
"    Percent Distribution",""
"        Estimate","2,014"
"    Median income (dollars)",""
"        Estimate","54,087"
"Schleicher County, Texas",""
"    Number",""
"        Estimate","899"
"    Percent Distribution",""
"        Estimate","899"
"    Median income (dollars)",""
"        Estimate","53,774"
"Scurry County, Texas",""
"    Number",""
"        Estimate","5,693"
"    Percent Distribution",""
"        Estimate","5,693"
"    Median income (dollars)",""
"        Estimate","58,932"
"Shackelford County, Texas",""
"    Number",""
"        Estimate","1,324"
"    Percent Distribution",""
"        Estimate","1,324"
"    Median income (dollars)",""
"        Estimate","60,924"
"Shelby County, Texas",""
"    Number",""
"        Estimate","8,988"
"    Percent Distribution",""
"        Estimate","8,988"
"    Median income (dollars)",""
"        Estimate","49,231"
"Sherman County, Texas",""
"    Number",""
"        Estimate","803"
"    Percent Distribution",""
"        Estimate","803"
"    Median income (dollars)",""
"        Estimate","66,169"
"Smith County, Texas",""
"    Number",""
"        Estimate","81,286"
"    Percent Distribution",""
"        Estimate","81,286"
"    Median income (dollars)",""
"        Estimate","69,053"
"Somervell County, Texas",""
"    Number",""
"        Estimate","3,345"
"    Percent Distribution",""
"        Estimate","3,345"
"    Median income (dollars)",""
"        Estimate","87,899"
"Starr County, Texas",""
"    Number",""
"        Estimate","18,634"
"    Percent Distribution",""
"        Estimate","18,634"
"    Median income (dollars)",""
"        Estimate","35,979"
"Stephens County, Texas",""
"    Number",""
"        Estimate","3,405"
"    Percent Distribution",""
"        Estimate","3,405"
"    Median income (dollars)",""
"        Estimate","44,712"
"Sterling County, Texas",""
"    Number",""
"        Estimate","392"
"    Percent Distribution",""
"        Estimate","392"
"    Median income (dollars)",""
"        Estimate","63,558"
"Stonewall County, Texas",""
"    Number",""
"        Estimate","450"
"    Percent Distribution",""
"        Estimate","450"
"    Median income (dollars)",""
"        Estimate","66,591"
"Sutton County, Texas",""
"    Number",""
"        Estimate","1,068"
"    Percent Distribution",""
"        Estimate","1,068"
"    Median income (dollars)",""
"        Estimate","56,778"
"Swisher County, Texas",""
"    Number",""
"        Estimate","2,401"
"    Percent Distribution",""
"        Estimate","2,401"
"    Median income (dollars)",""
"        Estimate","40,290"
"Tarrant County, Texas",""
"    Number",""
"        Estimate","754,969"
"    Percent Distribution",""
"        Estimate","754,969"
"    Median income (dollars)",""
"        Estimate","78,872"
"Taylor County, Texas",""
"    Number",""
"        Estimate","53,888"
"    Percent Distribution",""
"        Estimate","53,888"
"    Median income (dollars)",""
"        Estimate","61,806"
"Terrell County, Texas",""
"    Number",""
"        Estimate","436"
"    Percent Distribution",""
"        Estimate","436"
"    Median income (dollars)",""
"        Estimate","52,813"
"Terry County, Texas",""
"    Number",""
"        Estimate","4,170"
"    Percent Distribution",""
"        Estimate","4,170"
"    Median income (dollars)",""
"        Estimate","42,694"
"Throckmorton County, Texas",""
"    Number",""
"        Estimate","635"
"    Percent Distribution",""
"        Estimate","635"
"    Median income (dollars)",""
"        Estimate","55,221"
"Titus County, Texas",""
"    Number",""
"        Estimate","10,802"
"    Percent Distribution",""
"        Estimate","10,802"
"    Median income (dollars)",""
"        Estimate","57,634"
"Tom Green County, Texas",""
"    Number",""
"        Estimate","45,449"
"    Percent Distribution",""
"        Estimate","45,449"
"    Median income (dollars)",""
"        Estimate","67,215"
"Travis County, Texas",""
"    Number",""
"        Estimate","538,109"
"    Percent Distribution",""
"        Estimate","538,109"
"    Median income (dollars)",""
"        Estimate","92,731"
"Trinity County, Texas",""
"    Number",""
"        Estimate","5,946"
"    Percent Distribution",""
"        Estimate","5,946"
"    Median income (dollars)",""
"        Estimate","51,165"
"Tyler County, Texas",""
"    Number",""
"        Estimate","6,811"
"    Percent Distribution",""
"        Estimate","6,811"
"    Median income (dollars)",""
"        Estimate","50,898"
"Upshur County, Texas",""
"    Number",""
"        Estimate","14,969"
"    Percent Distribution",""
"        Estimate","14,969"
"    Median income (dollars)",""
"        Estimate","60,456"
"Upton County, Texas",""
"    Number",""
"        Estimate","1,363"
"    Percent Distribution",""
"        Estimate","1,363"
"    Median income (dollars)",""
"        Estimate","55,284"
"Uvalde County, Texas",""
"    Number",""
"        Estimate","8,420"
"    Percent Distribution",""
"        Estimate","8,420"
"    Median income (dollars)",""
"        Estimate","55,000"
"Val Verde County, Texas",""
"    Number",""
"        Estimate","16,643"
"    Percent Distribution",""
"        Estimate","16,643"
"    Median income (dollars)",""
"        Estimate","57,250"
"Van Zandt County, Texas",""
"    Number",""
"        Estimate","22,326"
"    Percent Distribution",""
"        Estimate","22,326"
"    Median income (dollars)",""
"        Estimate","62,334"
"Victoria County, Texas",""
"    Number",""
"        Estimate","34,265"
"    Percent Distribution",""
"        Estimate","34,265"
"    Median income (dollars)",""
"        Estimate","66,308"
"Walker County, Texas",""
"    Number",""
"        Estimate","24,592"
"    Percent Distribution",""
"        Estimate","24,592"
"    Median income (dollars)",""
"        Estimate","47,193"
"Waller County, Texas",""
"    Number",""
"        Estimate","17,780"
"    Percent Distribution",""
"        Estimate","17,780"
"    Median income (dollars)",""
"        Estimate","71,643"
"Ward County, Texas",""
"    Number",""
"        Estimate","4,264"
"    Percent Distribution",""
"        Estimate","4,264"
"    Median income (dollars)",""
"        Estimate","70,771"
"Washington County, Texas",""
"    Number",""
"        Estimate","14,482"
"    Percent Distribution",""
"        Estimate","14,482"
"    Median income (dollars)",""
"        Estimate","70,043"
"Webb County, Texas",""
"    Number",""
"        Estimate","77,797"
"    Percent Distribution",""
"        Estimate","77,797"
"    Median income (dollars)",""
"        Estimate","59,984"
"Wharton County, Texas",""
"    Number",""
"        Estimate","15,148"
"    Percent Distribution",""
"        Estimate","15,148"
"    Median income (dollars)",""
"        Estimate","59,712"
"Wheeler County, Texas",""
"    Number",""
"        Estimate","1,908"
"    Percent Distribution",""
"        Estimate","1,908"
"    Median income (dollars)",""
"        Estimate","58,158"
"Wichita County, Texas",""
"    Number",""
"        Estimate","48,604"
"    Percent Distribution",""
"        Estimate","48,604"
"    Median income (dollars)",""
"        Estimate","58,862"
"Wilbarger County, Texas",""
"    Number",""
"        Estimate","4,626"
"    Percent Distribution",""
"        Estimate","4,626"
"    Median income (dollars)",""
"        Estimate","50,769"
"Willacy County, Texas",""
"    Number",""
"        Estimate","5,414"
"    Percent Distribution",""
"        Estimate","5,414"
"    Median income (dollars)",""
"        Estimate","42,839"
"Williamson County, Texas",""
"    Number",""
"        Estimate","229,906"
"    Percent Distribution",""
"        Estimate","229,906"
"    Median income (dollars)",""
"        Estimate","102,851"
"Wilson County, Texas",""
"    Number",""
"        Estimate","17,345"
"    Percent Distribution",""
"        Estimate","17,345"
"    Median income (dollars)",""
"        Estimate","89,708"
"Winkler County, Texas",""
"    Number",""
"        Estimate","2,685"
"    Percent Distribution",""
"        Estimate","2,685"
"    Median income (dollars)",""
"        Estimate","89,155"
"Wise County, Texas",""
"    Number",""
"        Estimate","24,079"
"    Percent Distribution",""
"        Estimate","24,079"
"    Median income (dollars)",""
"        Estimate","85,385"
"Wood County, Texas",""
"    Number",""
"        Estimate","17,824"
"    Percent Distribution",""
"        Estimate","17,824"
"    Median income (dollars)",""
"        Estimate","61,748"
"Yoakum County, Texas",""
"    Number",""
"        Estimate","2,654"
"    Percent Distribution",""
"        Estimate","2,654"
"    Median income (dollars)",""
"        Estimate","80,317"
"Young County, Texas",""
"    Number",""
"        Estimate","7,565"
"    Percent Distribution",""
"        Estimate","7,565"
"    Median income (dollars)",""
"        Estimate","65,565"
"Zapata County, Texas",""
"    Number",""
"        Estimate","4,580"
"    Percent Distribution",""
"        Estimate","4,580"
"    Median income (dollars)",""
"        Estimate","35,061"
"Zavala County, Texas",""
"    Number",""
"        Estimate","3,427"
"    Percent Distribution",""
"        Estimate","3,427"
"    Median income (dollars)",""
"        Estimate","49,243"
