year,state,county,zip_codes,population,ev_registrations,cumulative_ev_stations,median_income
2017,TX,Hays County,"[78610, 78619, 78620, 78640, 78666, 78667, 78676, 78737]",214726.0,61,8,"62,815"
2017,TX,Henderson County,"[75124, 75143, 75148, 75156, 75163, 75751, 75752, 75756, 75758, 75770, 75778, 75782]",80954.0,2,0,"44,888"
2017,TX,Hidalgo County,"[78501, 78502, 78503, 78504, 78505, 78516, 78537, 78538, 78539, 78540, 78541, 78542, 78543, 78549, 78557, 78558, 78560, 78562, 78563, 78565, 78570, 78572, 78573, 78574, 78576, 78577, 78579, 78589, 78595, 78596, 78599]",856249.0,39,0,"37,097"
2017,TX,Hill County,"[76055, 76621, 76622, 76627, 76628, 76631, 76636, 76645, 76648, 76650, 76660, 76666, 76673, 76676, 76692]",35703.0,1,0,"45,970"
2017,TX,Hockley County,"[79313, 79336, 79338, 79353, 79358, 79367, 79372, 79380]",22977.0,1,0,"49,184"
2017,TX,Hood County,"[76048, 76049, 76462, 76467, 76476]",57973.0,7,0,"60,275"
2017,TX,Hopkins County,"[75420, 75431, 75433, 75437, 75471, 75478, 75481, 75482, 75483]",36451.0,4,0,"47,832"
2017,TX,Houston County,"[75835, 75844, 75847, 75849, 75851, 75858]",23089.0,1,0,"33,552"
2017,TX,Hunt County,"[75135, 75401, 75402, 75403, 75404, 75422, 75423, 75428, 75429, 75453, 75458, 75474, 75496]",94046.0,1,0,"49,319"
2017,TX,Jasper County,"[75931, 75951, 75956, 77612, 77615]",35549.0,1,0,"41,960"
2017,TX,Jefferson County,"[77613, 77619, 77622, 77627, 77629, 77640, 77641, 77642, 77643, 77651, 77655, 77701, 77702, 77703, 77704, 77705, 77706, 77707, 77708, 77709, 77710, 77713, 77720, 77725, 77726]",256041.0,16,0,"46,315"
2017,TX,Jim Wells County,"[78332, 78333, 78342, 78372, 78375, 78383]",40920.0,1,0,"41,103"
2017,TX,Johnson County,"[76009, 76028, 76031, 76033, 76044, 76050, 76058, 76059, 76061, 76084, 76093, 76097]",167012.0,18,0,"60,458"
2017,TX,Kaufman County,"[75114, 75118, 75126, 75142, 75147, 75157, 75158, 75160, 75161]",122628.0,11,0,"63,926"
2017,TX,Kendall County,"[78004, 78006, 78013, 78027, 78074]",43969.0,17,3,"81,023"
2017,TX,Kerr County,"[78010, 78024, 78025, 78028, 78029, 78058]",51892.0,8,1,"48,698"
2017,TX,Kleberg County,"[78363, 78364, 78379]",30752.0,2,0,"41,700"
2017,TX,Lamar County,"[75411, 75416, 75421, 75425, 75434, 75435, 75460, 75461, 75462, 75468, 75470, 75473, 75477, 75486]",49568.0,2,0,"42,198"
2017,TX,Lamb County,"[79031, 79064, 79082, 79312, 79326, 79339, 79369, 79371]",13165.0,1,0,"43,712"
2017,TX,Lampasas County,"[76539, 76550, 76853]",20861.0,3,1,"54,467"
