year,state,county,zip_codes,population,ev_registrations,median_income
2018,FL,Polk County,"[33801, 33802, 33803, 33804, 33805, 33806, 33807, 33809, 33810, 33811, 33812, 33813, 33815, 33820, 33823, 33827, 33830, 33831, 33835, 33836, 33837, 33838, 33839, 33840, 33841, 33843, 33844, 33845, 33846, 33847, 33849, 33850, 33851, 33853, 33854, 33855, 33856, 33858, 33859, 33860, 33863, 33867, 33868, 33877, 33880, 33881, 33882, 33883, 33884, 33885, 33888, 33896, 33897, 33898, 34759]",706597.0,1009.0,"48,500"
2018,FL,Putnam County,"[32007, 32112, 32131, 32138, 32139, 32140, 32147, 32148, 32149, 32157, 32177, 32178, 32181, 32185, 32187, 32189, 32193, 32640, 32666]",74043.0,37.0,"35,649"
2018,FL,Santa Rosa County,"[32530, 32561, 32562, 32563, 32565, 32566, 32570, 32571, 32572, 32583]",179295.0,303.0,"66,242"
2018,FL,Sarasota County,"[34223, 34228, 34229, 34230, 34231, 34232, 34233, 34234, 34235, 34236, 34237, 34238, 34239, 34240, 34241, 34242, 34249, 34260, 34272, 34274, 34275, 34276, 34277, 34278, 34284, 34285, 34286, 34287, 34288, 34289, 34290, 34291, 34292, 34293, 34295]",426329.0,1983.0,"58,644"
2018,FL,Seminole County,"[32701, 32707, 32708, 32714, 32715, 32716, 32718, 32719, 32730, 32732, 32745, 32746, 32747, 32750, 32752, 32762, 32765, 32766, 32771, 32772, 32773, 32779, 32791, 32795, 32799]",468122.0,1887.0,"63,760"
2018,FL,St. Johns County,"[32004, 32033, 32080, 32081, 32082, 32084, 32085, 32086, 32092, 32095, 32145, 32259]",253814.0,1099.0,"77,323"
2018,FL,St. Lucie County,"[34945, 34946, 34947, 34948, 34949, 34950, 34951, 34952, 34953, 34954, 34979, 34981, 34982, 34983, 34984, 34985, 34986, 34987, 34988]",320425.0,601.0,"49,373"
2018,FL,Sumter County,"[32162, 32163, 33513, 33514, 33521, 33538, 33585, 33597, 34484, 34785]",128719.0,282.0,"55,228"
2018,FL,Suwannee County,"[32008, 32060, 32062, 32064, 32071, 32094]",44179.0,20.0,"42,686"
2018,FL,Taylor County,"[32347, 32348, 32356, 32357, 32359]",21545.0,1.0,"36,934"
2018,FL,Union County,"[32026, 32054, 32083, 32697]",15328.0,1.0,"41,770"
2018,FL,Volusia County,"[32105, 32114, 32115, 32116, 32117, 32118, 32119, 32120, 32121, 32122, 32123, 32124, 32125, 32126, 32127, 32128, 32129, 32130, 32132, 32141, 32168, 32169, 32170, 32173, 32174, 32175, 32176, 32180, 32190, 32198, 32706, 32713, 32720, 32721, 32722, 32723, 32724, 32725, 32728, 32738, 32739, 32744, 32753, 32759, 32763, 32764, 32774]",546101.0,1079.0,"46,760"
2018,FL,Wakulla County,"[32326, 32327, 32346, 32355, 32358]",32413.0,25.0,"62,778"
2018,FL,Walton County,"[32422, 32433, 32434, 32435, 32439, 32454, 32455, 32459, 32461, 32538, 32550]",70732.0,211.0,"53,785"
2018,FL,Washington County,"[32427, 32428, 32437, 32462, 32463]",24793.0,13.0,"37,188"
2018,FL,,,,1801.0,
2019,FL,Alachua County,"[32601, 32602, 32603, 32604, 32605, 32606, 32607, 32608, 32609, 32610, 32611, 32612, 32613, 32614, 32615, 32616, 32618, 32627, 32631, 32635, 32641, 32643, 32653, 32654, 32655, 32658, 32662, 32667, 32669, 32694]",269043.0,699.0,"49,689"
2019,FL,Baker County,"[32040, 32063, 32072, 32087]",29210.0,12.0,"63,275"
2019,FL,Bay County,"[32401, 32402, 32403, 32404, 32405, 32406, 32407, 32408, 32409, 32410, 32411, 32412, 32413, 32417, 32438, 32444, 32466]",174705.0,237.0,"54,316"
2019,FL,Bradford County,"[32042, 32044, 32058, 32091, 32622]",28201.0,9.0,"45,921"
2019,FL,Brevard County,"[32754, 32775, 32780, 32781, 32782, 32783, 32796, 32815, 32899, 32901, 32902, 32903, 32904, 32905, 32906, 32907, 32908, 32909, 32910, 32911, 32912, 32919, 32920, 32922, 32923, 32924, 32925, 32926, 32927, 32931, 32932, 32934, 32935, 32936, 32937, 32940, 32941, 32949, 32950, 32951, 32952, 32953, 32954, 32955, 32956, 32959, 32976]",601942.0,1657.0,"56,775"
