zip,population,city,county,state
90504,32965,Torrance,Los Angeles County,Ca
92123,32951,San Diego,San Diego County,Ca
95118,32827,San Jose,Santa Clara County,Ca
95661,32827,Roseville,Placer County,Ca
92220,32797,Banning,Riverside County,Ca
94801,32759,Richmond,Contra Costa County,Ca
93710,32730,Fresno,Fresno County,Ca
91351,32677,Canyon Country,Los Angeles County,Ca
94043,32670,Mountain View,Santa Clara County,Ca
95961,32663,Olivehurst,Yuba County,Ca
93955,32610,Seaside,Monterey County,Ca
93703,32603,Fresno,Fresno County,Ca
91107,32581,Pasadena,Los Angeles County,Ca
95662,32436,Orangevale,Sacramento County,Ca
94610,32404,Oakland,Alameda County,Ca
94103,32400,San Francisco,San Francisco County,Ca
91214,32344,La Crescenta,Los Angeles County,Ca
93618,32334,Dinuba,Tulare County,Ca
91206,32294,Glendale,Los Angeles County,Ca
94941,32190,Mill Valley,Marin County,Ca
91505,32156,Burbank,Los Angeles County,Ca
93420,32126,Arroyo Grande,San Luis Obispo County,Ca
91604,32073,Studio City,Los Angeles County,Ca
90230,32005,Culver City,Los Angeles County,Ca
91006,31986,Arcadia,Los Angeles County,Ca
92116,31836,San Diego,San Diego County,Ca
91423,31787,Sherman Oaks,Los Angeles County,Ca
93001,31751,Ventura,Ventura County,Ca
90606,31717,Whittier,Los Angeles County,Ca
95070,31688,Saratoga,Santa Clara County,Ca
90803,31659,Long Beach,Los Angeles County,Ca
94903,31582,San Rafael,Marin County,Ca
90712,31552,Lakewood,Los Angeles County,Ca
92405,31550,San Bernardino,San Bernardino County,Ca
93940,31513,Monterey,Monterey County,Ca
92881,31401,Corona,Riverside County,Ca
95131,31335,San Jose,Santa Clara County,Ca
94070,31312,San Carlos,San Mateo County,Ca
95829,31297,Sacramento,Sacramento County,Ca
95358,31268,Modesto,Stanislaus County,Ca
95632,31217,Galt,Sacramento County,Ca
91792,31208,West Covina,Los Angeles County,Ca
96080,31190,Red Bluff,Tehama County,Ca
93004,31151,Ventura,Ventura County,Ca
92124,31121,San Diego,San Diego County,Ca
94602,31104,Oakland,Alameda County,Ca
90680,31102,Stanton,Orange County,Ca
93561,31060,Tehachapi,Kern County,Ca
92260,31039,Palm Desert,Riverside County,Ca
90028,30982,Los Angeles,Los Angeles County,Ca
