zip,population,city,county,state
32046,11042,Hilliard,Nassau County,Fl
32833,10995,Orlando,Orange County,Fl
32820,10927,Orlando,Orange County,Fl
32148,10923,Interlachen,Putnam County,Fl
32501,10908,Pensacola,Escambia County,Fl
33480,10853,Palm Beach,Palm Beach County,Fl
33843,10790,Frostproof,Polk County,Fl
34637,10784,Land O'Lakes,Pasco County,Fl
34102,10767,Naples,Collier County,Fl
34996,10755,Stuart,Martin County,Fl
32446,10676,Marianna,Jackson County,Fl
32680,10622,Old Town,Dixie County,Fl
34448,10607,Homosassa,Citrus County,Fl
32579,10596,Shalimar,Okaloosa County,Fl
32784,10545,Umatilla,Marion County,Fl
33050,10520,Marathon,Monroe County,Fl
32409,10518,Panama City,Bay County,Fl
33955,10397,Punta Gorda,Charlotte County,Fl
33954,10393,Port Charlotte,Charlotte County,Fl
32169,10383,New Smyrna Beach,Volusia County,Fl
32640,10360,Hawthorne,Alachua County,Fl
33540,10282,Zephyrhills,Pasco County,Fl
32340,10213,Madison,Madison County,Fl
32038,10208,Fort White,Columbia County,Fl
34453,10108,Inverness,Citrus County,Fl
34450,10005,Inverness,Citrus County,Fl
34434,9981,Dunnellon,Citrus County,Fl
32920,9961,Cape Canaveral,Brevard County,Fl
33947,9927,Rotonda West,Charlotte County,Fl
34956,9531,Indiantown,Martin County,Fl
32814,9500,Orlando,Orange County,Fl
32561,9495,Gulf Breeze,Escambia County,Fl
34429,9448,Crystal River,Citrus County,Fl
32110,9424,Bunnell,Flagler County,Fl
32976,9310,Sebastian,Brevard County,Fl
33449,9301,Lake Worth,Palm Beach County,Fl
34428,9175,Crystal River,Citrus County,Fl
33931,9150,Fort Myers Beach,Lee County,Fl
34688,9074,Tarpon Springs,Pinellas County,Fl
34607,9061,Spring Hill,Hernando County,Fl
34602,9024,Brooksville,Hernando County,Fl
33128,8989,Miami,Miami-Dade County,Fl
33850,8876,Lake Alfred,Polk County,Fl
32612,8795,Gainesville,Alachua County,Fl
34614,8794,Brooksville,Hernando County,Fl
33597,8759,Webster,Sumter County,Fl
32550,8722,Miramar Beach,Walton County,Fl
32234,8692,Jacksonville,Duval County,Fl
33194,8617,Miami,Miami-Dade County,Fl
32626,8552,Chiefland,Levy County,Fl
32179,8523,Ocklawaha,Marion County,Fl
34431,8448,Dunnellon,Marion County,Fl
33841,8440,Fort Meade,Polk County,Fl
32136,8349,Flagler Beach,Flagler County,Fl
32204,8270,Jacksonville,Duval County,Fl
32440,8239,Graceville,Jackson County,Fl
32040,8235,Glen Saint Mary,Baker County,Fl
34433,8128,Dunnellon,Citrus County,Fl
32618,8111,Archer,Alachua County,Fl
34291,8104,North Port,Sarasota County,Fl
32052,8053,Jasper,Hamilton County,Fl
32132,8012,Edgewater,Volusia County,Fl
32112,8002,Crescent City,Putnam County,Fl
34949,7993,Fort Pierce,St. Lucie County,Fl
32124,7992,Daytona Beach,Volusia County,Fl
33715,7876,Saint Petersburg,Pinellas County,Fl
32465,7846,Wewahitchka,Gulf County,Fl
34436,7846,Floral City,Citrus County,Fl
32456,7775,Port Saint Joe,Gulf County,Fl
33031,7692,Homestead,Miami-Dade County,Fl
32064,7641,Live Oak,Suwannee County,Fl
33548,7639,Lutz,Hillsborough County,Fl
34242,7602,Sarasota,Sarasota County,Fl
34229,7575,Osprey,Sarasota County,Fl
32448,7561,Marianna,Jackson County,Fl
32424,7516,Blountstown,Calhoun County,Fl
34228,7479,Longboat Key,Sarasota County,Fl
33767,7458,Clearwater Beach,Pinellas County,Fl
33953,7347,Port Charlotte,Charlotte County,Fl
34251,7324,Myakka City,Manatee County,Fl
33920,7250,Alva,Lee County,Fl
32531,7235,Baker,Okaloosa County,Fl
32134,7076,Fort McCoy,Marion County,Fl
32347,7052,Perry,Taylor County,Fl
33476,6999,Pahokee,Palm Beach County,Fl
33042,6990,Summerland Key,Monroe County,Fl
34753,6985,Mascotte,Lake County,Fl
32066,6875,Mayo,Lafayette County,Fl
32603,6855,Gainesville,Alachua County,Fl
33471,6759,Moore Haven,Glades County,Fl
32266,6743,Neptune Beach,Duval County,Fl
34981,6703,Fort Pierce,St. Lucie County,Fl
33158,6536,Miami,Miami-Dade County,Fl
32435,6525,Defuniak Springs,Walton County,Fl
33620,6451,Tampa,Hillsborough County,Fl
33957,6420,Sanibel,Lee County,Fl
32730,6410,Casselberry,Seminole County,Fl
32202,6393,Jacksonville,Duval County,Fl
33834,6371,Bowling Green,Hardee County,Fl
32008,6338,Branford,Lafayette County,Fl
32666,6313,Melrose,Putnam County,Fl
33876,6188,Sebring,Highlands County,Fl
32466,6167,Youngstown,Bay County,Fl
33576,6076,San Antonio,Pasco County,Fl
32948,6032,Fellsmere,Indian River County,Fl
32321,5995,Bristol,Liberty County,Fl
34946,5825,Fort Pierce,St. Lucie County,Fl
33070,5717,Tavernier,Monroe County,Fl
34945,5608,Fort Pierce,St. Lucie County,Fl
33538,5599,Lake Panasoffkee,Sumter County,Fl
32130,5561,De Leon Springs,Volusia County,Fl
32145,5553,Hastings,St. Johns County,Fl
32565,5515,Jay,Santa Rosa County,Fl
32535,5510,Century,Escambia County,Fl
32460,5488,Sneads,Jackson County,Fl
32113,5386,Citra,Marion County,Fl
32621,5332,Bronson,Levy County,Fl
34269,5274,Arcadia,DeSoto County,Fl
32686,5273,Reddick,Marion County,Fl
32087,5240,Sanderson,Baker County,Fl
32628,5235,Cross City,Dixie County,Fl
33838,5226,Dundee,Polk County,Fl
32735,5190,Grand Island,Lake County,Fl
32352,5143,Quincy,Gadsden County,Fl
32668,5115,Morriston,Levy County,Fl
32189,5108,Satsuma,Putnam County,Fl
32732,5104,Geneva,Seminole County,Fl
33762,5103,Clearwater,Pinellas County,Fl
34484,5090,Oxford,Sumter County,Fl
33493,5035,South Bay,Palm Beach County,Fl
32508,5015,Pensacola,Escambia County,Fl
32619,5004,Bell,Gilchrist County,Fl
32180,5000,Pierson,Volusia County,Fl
32324,4981,Chattahoochee,Gadsden County,Fl
